test_name,servers,clients,duration,timestamp,total_transfers,successful_transfers,failed_transfers,integrity_violations,balance_checks,final_balances,transfer_throughput,commits_per_sec,aborts_per_sec,abort_rate
Basic_Distributed,2,2,30,2025-09-27T22:12:34.189863,0,980,26,4979,7,[],0.0,218.86,122.96000000000001,35.97214908431338
High_Contention,1,3,30,2025-09-27T22:13:30.500956,0,1532,60,0,7910,[],0.0,326.92,101.98,23.777104220097925
Balanced_Distributed,3,1,30,2025-09-27T22:14:27.687549,0,548,0,0,2718,[],0.0,129.97,39.99,23.529065662508824
