workload,theta,ops_per_sec,commits_per_sec,aborts_per_sec,abort_rate
YCSB-A,0,11154.0,3718.0,0.0,0.0
YCSB-A,0.3,11219.0,3740.0,0.0,0.0
YCSB-A,0.5,10805.0,3602.0,0.0,0.0
YCSB-A,0.7,10823.0,3607.0,1.0,0.0
YCSB-A,0.9,10860.0,3606.0,47.0,1.3
YCSB-A,0.99,10878.0,3580.0,157.0,4.2
YCSB-B,0,11010.0,3670.0,0.0,0.0
YCSB-B,0.3,11170.0,3723.0,0.0,0.0
YCSB-B,0.5,11155.0,3718.0,0.0,0.0
YCSB-B,0.7,10836.0,3612.0,0.0,0.0
YCSB-B,0.9,10906.0,3635.0,6.0,0.2
YCSB-B,0.99,10821.0,3601.0,20.0,0.6
